2,05/20/2020,05/27/2020
3,05/27/2020,06/03/2020
4,06/03/2020,06/10/2020
5,06/10/2020,06/17/2020
6,06/17/2020,06/24/2020
7,06/24/2020,07/01/2020
8,07/01/2020,07/08/2020
9,07/08/2020,07/15/2020
0,07/08/2020,07/15/2020
10,07/15/2020,07/22/2020
